,sample id ,mouse,cage,genotype,exposure ,diet,vendor room 
d1930_aebuf5_S127,ctrl,n/a,n/a,n/a,n/a,n/a,n/a
d1930_aebuf6_S128,ctrl,n/a,n/a,n/a,n/a,n/a,n/a
d1930_aebuf7_S129,ctrl,n/a,n/a,n/a,n/a,n/a,n/a
d1930_bead1_S123,ctrl,n/a,n/a,n/a,n/a,n/a,n/a
d1930_bead2_S124,ctrl,n/a,n/a,n/a,n/a,n/a,n/a
d1930_bead3_S125,ctrl,n/a,n/a,n/a,n/a,n/a,n/a
d1930_bead4_S126,ctrl,n/a,n/a,n/a,n/a,n/a,n/a
d1930_bead5_S157,ctrl,n/a,n/a,n/a,n/a,n/a,n/a
d1930_bead6_S158,ctrl,n/a,n/a,n/a,n/a,n/a,n/a
d1930_bead7_S159,ctrl,n/a,n/a,n/a,n/a,n/a,n/a
d1930_h2o1_S222,ctrl,n/a,n/a,n/a,n/a,n/a,n/a
d1930_h2o2_S223,ctrl,n/a,n/a,n/a,n/a,n/a,n/a
d1930_instrument1_S254,ctrl,n/a,n/a,n/a,n/a,n/a,n/a
d1930_instrument2_S255,ctrl,n/a,n/a,n/a,n/a,n/a,n/a
d1930_instrument3_S279,ctrl,n/a,n/a,n/a,n/a,n/a,n/a
d1930_instrument4_S280,ctrl,n/a,n/a,n/a,n/a,n/a,n/a
d1930_instrument5_S281,ctrl,n/a,n/a,n/a,n/a,n/a,n/a
d1930_m10c10_f0_wt_non_S45,mouse,10,c10,wt,non,5LOD,1
d1930_m10c10_fe_wt_non_S38,mouse,10,c10,wt,non,5LOD,1
d1930_m11c1_f0_wt_ran_S17,mouse,11,c1,wt,ran,5LOD,1
d1930_m11c1_fe_wt_ran_S172,mouse,11,c1,wt,ran,5LOD,1
d1930_m12c2_f0_wt_ran_S57,mouse,12,c2,wt,ran,5LOD,1
d1930_m12c2_fe_wt_ran_S109,mouse,12,c2,wt,ran,5LOD,1
d1930_m13c3_f0_wt_ran_S88,mouse,13,c3,wt,ran,5LOD,1
d1930_m13c3_fe_wt_ran_S147,mouse,13,c3,wt,ran,5LOD,1
d1930_m14c4_f0_wt_ran_S25,mouse,14,c4,wt,ran,5LOD,1
d1930_m14c4_fe_wt_ran_S112,mouse,14,c4,wt,ran,5LOD,1
d1930_m15c5_f0_wt_ran_S65,mouse,15,c5,wt,ran,5LOD,1
d1930_m15c5_fe_wt_ran_S149,mouse,15,c5,wt,ran,5LOD,1
d1930_m16c6_f0_wt_ran_S28,mouse,16,c6,wt,ran,5LOD,1
d1930_m16c6_fe_wt_ran_S179,mouse,16,c6,wt,ran,5LOD,1
d1930_m17c7_f0_wt_ran_S68,mouse,17,c7,wt,ran,5LOD,1
d1930_m17c7_fe_wt_ran_S120,mouse,17,c7,wt,ran,5LOD,1
d1930_m18c8_f0_wt_ran_S31,mouse,18,c8,wt,ran,5LOD,1
d1930_m18c8_fe_wt_ran_S156,mouse,18,c8,wt,ran,5LOD,1
d1930_m19c1_f0_wt_ran_S18,mouse,19,c1,wt,ran,5LOD,1
d1930_m19c1_fe_wt_ran_S173,mouse,19,c1,wt,ran,5LOD,1
d1930_m1c9_f0_wt_non_S1,mouse,1,c9,wt,non,5LOD,1
d1930_m1c9_fe_wt_non_S71,mouse,1,c9,wt,non,5LOD,1
d1930_m20c2_f0_wt_ran_S58,mouse,20,c2,wt,ran,5LOD,1
d1930_m20c2_fe_wt_ran_S110,mouse,20,c2,wt,ran,5LOD,1
d1930_m21c11_f0_t2_non_S81,mouse,21,c11,t2,non,5LOD,2
d1930_m21c11_fe_t2_non_S39,mouse,21,c11,t2,non,5LOD,2
d1930_m22c11_f0_t2_non_S82,mouse,22,c11,t2,non,5LOD,2
d1930_m22c11_fe_t2_non_S40,mouse,22,c11,t2,non,5LOD,2
d1930_m23c11_f0_t2_non_S6,mouse,23,c11,t2,non,5LOD,2
d1930_m23c11_fe_t2_non_S76,mouse,23,c11,t2,non,5LOD,2
d1930_m24c11_f0_t2_non_S7,mouse,24,c11,t2,non,5LOD,2
d1930_m24c11_fe_t2_non_S77,mouse,24,c11,t2,non,5LOD,2
d1930_m25c11_f0_t2_non_S8,mouse,25,c11,t2,non,5LOD,2
d1930_m25c11_fe_t2_non_S78,mouse,25,c11,t2,non,5LOD,2
d1930_m26c12_f0_t2_non_S9,mouse,26,c12,t2,non,5LOD,2
d1930_m26c12_fe_t2_non_S79,mouse,26,c12,t2,non,5LOD,2
d1930_m27c12_f0_t2_non_S10,mouse,27,c12,t2,non,5LOD,2
d1930_m27c12_fe_t2_non_S97,mouse,27,c12,t2,non,5LOD,2
d1930_m28c12_f0_t2_non_S46,mouse,28,c12,t2,non,5LOD,2
d1930_m28c12_fe_t2_non_S98,mouse,28,c12,t2,non,5LOD,2
d1930_m29c12_f0_t2_non_S47,mouse,29,c12,t2,non,5LOD,2
d1930_m29c12_fe_t2_non_S99,mouse,29,c12,t2,non,5LOD,2
d1930_m2c9_f0_wt_non_S2,mouse,2,c9,wt,non,5LOD,1
d1930_m2c9_fe_wt_non_S72,mouse,2,c9,wt,non,5LOD,1
d1930_m30c12_f0_t2_non_S48,mouse,30,c12,t2,non,5LOD,2
d1930_m30c12_fe_t2_non_S100,mouse,30,c12,t2,non,5LOD,2
d1930_m31c5_f0_t2_ran_S89,mouse,31,c5,t2,ran,5LOD,2
d1930_m31c5_fe_t2_ran_S150,mouse,31,c5,t2,ran,5LOD,2
d1930_m32c6_f0_t2_ran_S29,mouse,32,c6,t2,ran,5LOD,2
d1930_m32c6_fe_t2_ran_S180,mouse,32,c6,t2,ran,5LOD,2
d1930_m33c7_f0_t2_ran_S69,mouse,33,c7,t2,ran,5LOD,2
d1930_m33c7_fe_t2_ran_S121,mouse,33,c7,t2,ran,5LOD,2
d1930_m34c8_f0_t2_ran_S32,mouse,34,c8,t2,ran,5LOD,2
d1930_m34c8_fe_t2_ran_S181,mouse,34,c8,t2,ran,5LOD,2
d1930_m35c1_f0_t2_ran_S19,mouse,35,c1,t2,ran,5LOD,2
d1930_m35c1_fe_t2_ran_S174,mouse,35,c1,t2,ran,5LOD,2
d1930_m36c2_f0_t2_ran_S59,mouse,36,c2,t2,ran,5LOD,2
d1930_m36c2_fe_t2_ran_S111,mouse,36,c2,t2,ran,5LOD,2
d1930_m37c3_f0_t2_ran_S21,mouse,37,c3,t2,ran,5LOD,2
d1930_m37c3_fe_t2_ran_S148,mouse,37,c3,t2,ran,5LOD,2
d1930_m38c4_f0_t2_ran_S61,mouse,38,c4,t2,ran,5LOD,2
d1930_m38c4_fe_t2_ran_S113,mouse,38,c4,t2,ran,5LOD,2
d1930_m39c5_f0_t2_ran_S90,mouse,39,c5,t2,ran,5LOD,2
d1930_m39c5_fe_t2_ran_S151,mouse,39,c5,t2,ran,5LOD,2
d1930_m3c9_f0_wt_non_S3,mouse,3,c9,wt,non,5LOD,1
d1930_m3c9_fe_wt_non_S73,mouse,3,c9,wt,non,5LOD,1
d1930_m40c6_f0_t2_ran_S30,mouse,40,c6,t2,ran,5LOD,2
d1930_m40c6_fe_t2_ran_S117,mouse,40,c6,t2,ran,5LOD,2
d1930_m41c3_f0_t4_ran_S22,mouse,41,c3,t4,ran,5LOD,3
d1930_m41c3_fe_t4_ran_S175,mouse,41,c3,t4,ran,5LOD,3
d1930_m42c4_f0_t4_ran_S62,mouse,42,c4,t4,ran,5LOD,3
d1930_m42c4_fe_t4_ran_S114,mouse,42,c4,t4,ran,5LOD,3
d1930_m43c5_f0_t4_ran_S26,mouse,43,c5,t4,ran,5LOD,3
d1930_m43c5_fe_t4_ran_S152,mouse,43,c5,t4,ran,5LOD,3
d1930_m44c6_f0_t4_ran_S66,mouse,44,c6,t4,ran,5LOD,3
d1930_m44c6_fe_t4_ran_S118,mouse,44,c6,t4,ran,5LOD,3
d1930_m45c7_f0_t4_ran_S70,mouse,45,c7,t4,ran,5LOD,3
d1930_m45c7_fe_t4_ran_S153,mouse,45,c7,t4,ran,5LOD,3
d1930_m46c8_f0_t4_ran_S33,mouse,46,c8,t4,ran,5LOD,3
d1930_m46c8_fe_t4_ran_S182,mouse,46,c8,t4,ran,5LOD,3
d1930_m47c1_f0_t4_ran_S20,mouse,47,c1,t4,ran,5LOD,3
d1930_m47c1_fe_t4_ran_S107,mouse,47,c1,t4,ran,5LOD,3
d1930_m48c2_f0_t4_ran_S60,mouse,48,c2,t4,ran,5LOD,3
d1930_m48c2_fe_t4_ran_S145,mouse,48,c2,t4,ran,5LOD,3
d1930_m49c3_f0_t4_ran_S23,mouse,49,c3,t4,ran,5LOD,3
d1930_m49c3_fe_t4_ran_S176,mouse,49,c3,t4,ran,5LOD,3
d1930_m4c9_f0_wt_non_S4,mouse,4,c9,wt,non,5LOD,1
d1930_m4c9_fe_wt_non_S74,mouse,4,c9,wt,non,5LOD,1
d1930_m50c4_f0_t4_ran_S63,mouse,50,c4,t4,ran,5LOD,3
d1930_m50c4_fe_t4_ran_S115,mouse,50,c4,t4,ran,5LOD,3
d1930_m51c13_f0_t4_non_S49,mouse,51,c13,t4,non,5LOD,3
d1930_m51c13_fe_t4_non_S101,mouse,51,c13,t4,non,5LOD,3
d1930_m52c13_f0_t4_non_S50,mouse,52,c13,t4,non,5LOD,3
d1930_m52c13_fe_t4_non_S137,mouse,52,c13,t4,non,5LOD,3
d1930_m53c13_f0_t4_non_S83,mouse,53,c13,t4,non,5LOD,3
d1930_m53c13_fe_t4_non_S138,mouse,53,c13,t4,non,5LOD,3
d1930_m54c13_f0_t4_non_S84,mouse,54,c13,t4,non,5LOD,3
d1930_m54c13_fe_t4_non_S139,mouse,54,c13,t4,non,5LOD,3
d1930_m55c13_f0_t4_non_S11,mouse,55,c13,t4,non,5LOD,3
d1930_m55c13_fe_t4_non_S140,mouse,55,c13,t4,non,5LOD,3
d1930_m56c14_f0_t4_non_S12,mouse,56,c14,t4,non,5LOD,3
d1930_m56c14_fe_t4_non_S169,mouse,56,c14,t4,non,5LOD,3
d1930_m57c14_f0_t4_non_S13,mouse,57,c14,t4,non,5LOD,3
d1930_m57c14_fe_t4_non_S170,mouse,57,c14,t4,non,5LOD,3
d1930_m58c15_f0_t5_non_S14,mouse,58,c15,t5,non,5LOD,4
d1930_m58c15_fe_t5_non_S171,mouse,58,c15,t5,non,5LOD,4
d1930_m59c15_f0_t5_non_S15,mouse,59,c15,t5,non,5LOD,4
d1930_m59c15_fe_t5_non_S102,mouse,59,c15,t5,non,5LOD,4
d1930_m5c9_f0_wt_non_S5,mouse,5,c9,wt,non,5LOD,1
d1930_m5c9_fe_wt_non_S75,mouse,5,c9,wt,non,5LOD,1
d1930_m60c15_f0_t5_non_S51,mouse,60,c15,t5,non,5LOD,4
d1930_m60c15_fe_t5_non_S103,mouse,60,c15,t5,non,5LOD,4
d1930_m61c15_f0_t5_non_S52,mouse,61,c15,t5,non,5LOD,4
d1930_m61c15_fe_t5_non_S104,mouse,61,c15,t5,non,5LOD,4
d1930_m62c15_f0_t5_non_S53,mouse,62,c15,t5,non,5LOD,4
d1930_m62c15_fe_t5_non_S105,mouse,62,c15,t5,non,5LOD,4
d1930_m63c16_f0_t5_non_S54,mouse,63,c16,t5,non,5LOD,4
d1930_m63c16_fe_t5_non_S106,mouse,63,c16,t5,non,5LOD,4
d1930_m64c16_f0_t5_non_S55,mouse,64,c16,t5,non,5LOD,4
d1930_m64c16_fe_t5_non_S141,mouse,64,c16,t5,non,5LOD,4
d1930_m65c16_f0_t5_non_S85,mouse,65,c16,t5,non,5LOD,4
d1930_m65c16_fe_t5_non_S142,mouse,65,c16,t5,non,5LOD,4
d1930_m66c16_f0_t5_non_S86,mouse,66,c16,t5,non,5LOD,4
d1930_m66c16_fe_t5_non_S143,mouse,66,c16,t5,non,5LOD,4
d1930_m67c16_f0_t5_non_S16,mouse,67,c16,t5,non,5LOD,4
d1930_m67c16_fe_t5_non_S144,mouse,67,c16,t5,non,5LOD,4
d1930_m68c7_f0_t5_ran_S91,mouse,68,c7,t5,ran,5LOD,4
d1930_m68c7_fe_t5_ran_S154,mouse,68,c7,t5,ran,5LOD,4
d1930_m69c8_f0_t5_ran_S34,mouse,69,c8,t5,ran,5LOD,4
d1930_m69c8_fe_t5_ran_S183,mouse,69,c8,t5,ran,5LOD,4
d1930_m6c10_f0_wt_non_S41,mouse,6,c10,wt,non,5LOD,1
d1930_m6c10_fe_wt_non_S93,mouse,6,c10,wt,non,5LOD,1
d1930_m70c1_f0_t5_ran_S56,mouse,70,c1,t5,ran,5LOD,4
d1930_m70c1_fe_t5_ran_S108,mouse,70,c1,t5,ran,5LOD,4
d1930_m71c2_f0_t5_ran_S87,mouse,71,c2,t5,ran,5LOD,4
d1930_m71c2_fe_t5_ran_S146,mouse,71,c2,t5,ran,5LOD,4
d1930_m72c3_f0_t5_ran_S24,mouse,72,c3,t5,ran,5LOD,4
d1930_m72c3_fe_t5_ran_S177,mouse,72,c3,t5,ran,5LOD,4
d1930_m73c4_f0_t5_ran_S64,mouse,73,c4,t5,ran,5LOD,4
d1930_m73c4_fe_t5_ran_S116,mouse,73,c4,t5,ran,5LOD,4
d1930_m74c5_f0_t5_ran_S27,mouse,74,c5,t5,ran,5LOD,4
d1930_m74c5_fe_t5_ran_S178,mouse,74,c5,t5,ran,5LOD,4
d1930_m75c6_f0_t5_ran_S67,mouse,75,c6,t5,ran,5LOD,4
d1930_m75c6_fe_t5_ran_S119,mouse,75,c6,t5,ran,5LOD,4
d1930_m76c7_f0_t5_ran_S92,mouse,76,c7,t5,ran,5LOD,4
d1930_m76c7_fe_t5_ran_S155,mouse,76,c7,t5,ran,5LOD,4
d1930_m77c8_f0_t5_ran_S35,mouse,77,c8,t5,ran,5LOD,4
d1930_m77c8_fe_t5_ran_S122,mouse,77,c8,t5,ran,5LOD,4
d1930_m7c10_f0_wt_non_S42,mouse,7,c10,wt,non,5LOD,1
d1930_m7c10_fe_wt_non_S94,mouse,7,c10,wt,non,5LOD,1
d1930_m8c10_f0_wt_non_S43,mouse,8,c10,wt,non,5LOD,1
d1930_m8c10_fe_wt_non_S36,mouse,8,c10,wt,non,5LOD,1
d1930_m9c10_f0_wt_non_S44,mouse,9,c10,wt,non,5LOD,1
d1930_m9c10_fe_wt_non_S37,mouse,9,c10,wt,non,5LOD,1
